Date,Adj Close,Volume,NIFTY Open,Stock Open price
10/3/2016,403.176727,5599743,8666.150391,408
10/4/2016,404.960297,2460624,8770,410.799988
10/5/2016,398.668365,1211874,8806.349609,404.75
10/6/2016,386.233215,1279047,8768.700195,392.5
10/7/2016,395.646301,1609544,8721.700195,403
10/10/2016,394.308655,1139672,8735.349609,393
10/13/2016,381.427582,1210028,8671.5,388.399994
10/14/2016,382.517548,671739,8594,386
10/17/2016,388.462646,985147,8612.950195,394
10/18/2016,386.035034,638916,8556.049805,391.049988
10/19/2016,382.963409,619564,8697.5,388
10/20/2016,383.706543,817805,8693.349609,388.5
10/21/2016,393.615051,1956844,8708.599609,397.899994
10/24/2016,394.308655,1428623,8709.849609,397.5
10/25/2016,391.732422,502899,8721.700195,394.600006
10/26/2016,397.727081,2141745,8657.299805,403
10/27/2016,375.581573,5522916,8607.099609,382
10/28/2016,371.816376,1227979,8625,378
11/1/2016,375.977966,1217783,8653.150391,373.399994
11/2/2016,368.74472,3177947,8542.799805,374
11/3/2016,368.199768,1826502,8499.849609,374
11/4/2016,348.779114,1361991,8503.599609,360.049988
11/7/2016,354.27829,693282,8535.75,360.799988
11/8/2016,343.676239,657710,8540,299
11/9/2016,329.655731,1717022,8067.5,342
11/10/2016,350.562592,1227643,8555.599609,350
11/11/2016,331.63739,816555,8456.650391,335
11/15/2016,296.363159,1093624,8284.849609,307
11/16/2016,298.295258,987574,8205.650391,303
11/17/2016,296.363159,504749,8105.100098,303.899994
11/18/2016,298.64209,936451,8097.549805,303.649994
11/21/2016,280.757263,833018,8102.100098,285.149994
11/22/2016,289.278595,1556945,7989.149902,298.700012
11/23/2016,298.69165,1508773,8051.200195,300
11/24/2016,294.827301,712733,8011.799805,300
11/25/2016,306.420258,1267568,8007.950195,308.200012
11/28/2016,315.981964,1674151,8080.649902,320
11/29/2016,317.369141,1093476,8131.549805,323
11/30/2016,319.747192,1041917,8172.149902,324.899994
12/1/2016,316.031525,757011,8244,316
12/2/2016,310.680908,489771,8153.549805,314.549988
12/5/2016,318.013245,726691,8088.75,322.899994
12/6/2016,316.774658,437501,8153.149902,321.649994
12/7/2016,316.526947,585863,8168.399902,324.899994
12/8/2016,322.620697,768001,8152.100098,326.5
12/9/2016,323.26474,590532,8271.700195,326.049988
12/12/2016,316.824188,459527,8230.650391,320
12/13/2016,316.378296,1984127,8196.150391,320.399994
12/14/2016,311.770844,368067,8229.349609,309
12/15/2016,316.180115,669926,8128.399902,319.899994
12/16/2016,310.532288,521532,8178.200195,313.799988
12/19/2016,303.100922,399145,8126,304.100006
12/20/2016,295.372314,476623,8110.600098,299.850006
12/21/2016,283.680267,1157966,8105.850098,282
12/22/2016,284.621582,953137,8043.850098,286.100006
12/23/2016,287.544617,1033836,7972.5,288
12/26/2016,276.892975,518588,7965.100098,281
12/27/2016,286.306061,662807,7915.049805,290.200012
12/28/2016,287.247314,529442,8047.549805,292
12/29/2016,289.972137,587860,8030.600098,294.75
12/30/2016,293.985107,740082,8119.649902,298.950012
1/2/2017,317.815033,2996742,8210.099609,321.5
1/3/2017,323.661041,1859220,8196.049805,326.700012
1/4/2017,318.360016,696439,8202.650391,322.700012
1/5/2017,326.534485,1123767,8226.650391,331.149994
1/6/2017,325.246429,862494,8281.849609,329
1/9/2017,321.035278,441094,8259.349609,325.700012
1/10/2017,334.015442,1560848,8262.700195,341.100006
1/11/2017,356.50769,3587195,8327.799805,360.799988
1/12/2017,353.386566,951588,8391.049805,357.25
1/13/2017,355.516876,1037527,8457.650391,356.299988
1/16/2017,357.399536,722460,8390.950195,364
1/17/2017,363.493225,1314218,8415.049805,368
1/18/2017,364.038177,1092129,8403.849609,367
1/19/2017,358.24173,440153,8418.400391,360.700012
1/20/2017,343.478058,589563,8404.349609,348.649994
1/23/2017,355.715057,946360,8329.599609,363.149994
1/24/2017,360.52066,1242443,8407.049805,366.25
1/25/2017,360.817902,640139,8499.450195,365.100006
1/27/2017,367.902466,1318307,8610.5,372.200012
1/30/2017,365.970367,674434,8635.549805,371
1/31/2017,360.272949,446267,8629.450195,365
2/1/2017,376.324707,1970564,8570.349609,379.700012
2/2/2017,371.618164,592607,8724.75,372.549988
2/3/2017,376.770569,1321966,8735.150391,384.600006
2/6/2017,379.644043,780934,8785.450195,383.399994
2/7/2017,390.692017,1822249,8805.700195,395.799988
2/8/2017,386.183655,792070,8774.549805,392.799988
2/9/2017,389.552582,3988702,8795.549805,394.799988
2/10/2017,386.728638,852371,8812.349609,392
2/13/2017,378.256866,631353,8819.799805,384.149994
2/14/2017,381.080841,578831,8819.900391,384.75
2/15/2017,403.870361,5729740,8778.950195,403.850006
2/16/2017,406.099762,2401487,8739,411.799988
2/17/2017,405.108917,1650962,8883.700195,407
2/20/2017,407.63559,785166,8818.549805,411.950012
2/21/2017,415.85965,1825599,8890.75,420
2/22/2017,421.259735,1517007,8931.599609,423.950012
2/23/2017,416.751404,801021,8956.400391,422.299988
2/27/2017,449.697144,3623164,8943.700195,456
2/28/2017,444.94104,1516538,8898.950195,450.899994
3/1/2017,457.475342,1981645,8904.400391,461
3/2/2017,454.998199,1756805,8982.849609,459.049988
3/3/2017,484.723694,5608979,8883.5,491.649994
3/6/2017,481.305237,1779592,8915.099609,487.100006
3/7/2017,490.024719,3506975,8977.75,493
3/8/2017,489.430237,2043508,8950.700195,493.100006
3/9/2017,491.610077,816073,8914.5,500.899994
3/10/2017,504.986542,3109513,8953.700195,524.900024
3/14/2017,514.696838,1221469,9091.650391,519
3/15/2017,515.440002,844678,9086.849609,523.599976
3/16/2017,514.102356,614651,9129.650391,519.950012
3/17/2017,509.643494,668846,9207.799805,516.950012
3/20/2017,516.084045,1303530,9166.950195,521.450012
3/21/2017,522.227295,1103503,9133.950195,524.400024
3/22/2017,516.97583,615400,9047.200195,527
3/23/2017,526.388855,1196281,9048.75,531.25
3/24/2017,523.06958,529161,9104,526.099976
3/27/2017,517.917175,444563,9093.450195,521.599976
3/28/2017,518.759338,439214,9081.5,524
3/29/2017,525.05127,739699,9128.700195,530.549988
3/30/2017,530.253235,1186843,9142.599609,539.5
3/31/2017,533.820313,1392705,9158.900391,545.099976
4/3/2017,532.581726,971485,9220.599609,538.950012
4/5/2017,533.077148,720207,9264.400391,535
4/6/2017,525.10083,507869,9245.799805,527
4/7/2017,517.421753,735016,9223.700195,523.450012
4/10/2017,540.310303,1777593,9225.599609,548
4/11/2017,545.61145,1855162,9184.549805,551.900024
4/12/2017,541.202148,745924,9242.5,544
4/13/2017,540.855225,966585,9202.5,545
4/17/2017,545.958252,940808,9144.75,555
4/18/2017,536.594604,816109,9163,544
4/19/2017,541.003967,664523,9112.200195,548.5
4/20/2017,543.035156,449421,9108.099609,548.049988
4/21/2017,551.308777,1364102,9179.099609,556.400024
4/24/2017,545.61145,469874,9135.349609,552.25
4/25/2017,546.701355,625515,9273.049805,555.25
4/26/2017,544.521484,1037251,9336.200195,548.900024
4/27/2017,541.301147,428819,9359.150391,548.950012
4/28/2017,542.490173,506236,9340.950195,555
5/2/2017,559.483337,1944733,9339.849609,568
5/3/2017,563.446716,1136352,9344.700195,568
5/4/2017,563.496216,629251,9360.950195,569.900024
5/5/2017,587.177551,2122966,9374.549805,595
5/8/2017,597.085999,2522025,9311.450195,605
5/9/2017,595.203369,787285,9337.349609,604.700012
5/10/2017,628.347412,6644012,9339.650391,634.75
5/11/2017,640.980774,3743045,9448.599609,645
5/12/2017,640.881531,1222897,9436.650391,651
5/15/2017,642.863281,1087779,9433.549805,651
5/16/2017,649.898376,758003,9461,653.25
5/17/2017,647.867065,557095,9517.599609,649
5/18/2017,629.784058,571770,9453.200195,640
5/19/2017,634.242859,676817,9469.900391,645
5/22/2017,611.552429,741234,9480.25,621.5
5/23/2017,590.199585,1185709,9445.049805,588.599976
5/24/2017,595.748352,1543605,9410.900391,608.700012
5/25/2017,624.433472,957634,9384.049805,635.049988
5/26/2017,636.819153,1279579,9507.75,644
5/29/2017,665.10791,5471956,9560.049805,674
5/30/2017,662.828857,2103429,9590.650391,670.950012
5/31/2017,686.609314,2439108,9636.549805,697
6/1/2017,686.361572,2101901,9603.549805,695
6/2/2017,709.795227,2350526,9657.150391,720
6/5/2017,738.430786,2988123,9656.299805,750
6/6/2017,744.623535,3572366,9704.25,757.549988
6/7/2017,745.515381,1997953,9663.950195,756
6/8/2017,742.443665,868066,9682.400391,749.700012
6/9/2017,741.849182,1369519,9638.549805,754.450012
6/12/2017,734.368286,1927109,9646.700195,747
6/13/2017,734.516846,700510,9615.549805,744.900024
6/14/2017,710.439209,2420797,9621.549805,719
6/15/2017,702.611511,1915090,9617.900391,714
6/16/2017,703.106995,2150450,9595.450195,711.099976
6/19/2017,701.372925,1903137,9626.400391,712.900024
6/20/2017,718.019226,2153796,9670.5,726
6/21/2017,712.024597,1391854,9648.099609,719.450012
6/22/2017,702.661133,813848,9642.650391,709.900024
